OID_,DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank
337,S01006843,Portlethen - 02,Aberdeenshire,803,550,6879,5,10,20,99,2%,13,6655,2%,12,6425.5,35,26,17,46,16%,3%,46,6576,92%,6.05,72,2%,10%,5487,1.24,2.61,2.34,2.97,3.19,2.12,11.27,10.55,7.5,0%,5058,5,64,5896,30,0,4%,0%,6303
338,S01006844,Portlethen - 03,Aberdeenshire,597,427,6432,5,10,19,93,2%,14,6303,3%,14,5587,40,11,0,70,16%,8%,68,6174,0%,5.65,54,0%,3%,4949,1.73,2.41,2.81,2.53,2.92,2.6,10.4,9.99,8.53,0%,4938,3,51,6141,57,30,8%,4%,2760
339,S01006845,Portlethen - 04,Aberdeenshire,895,643,6665,5,10,20,96,2%,18,6477,2%,14,6334,30,8,0,63,18%,5%,59,6573,90%,5.64,53,0%,13%,5522,3.22,3.42,3.9,2.53,3.52,4.09,9.47,8.68,7.83,4%,2998,4,46,6262,28,4,3%,0%,6369
340,S01006846,Portlethen - 05,Aberdeenshire,532,364,5459,4,8,16,79,3%,15,6048.5,5%,20,4380,55,46,0,89,17%,0%,98,4822,86%,5.71,65,3%,9%,4370,2.77,2.95,3.42,2.08,3.39,3.65,10.07,9.1,8.25,0%,4101,7,134,4481,43,8,8%,1%,3997.5
341,S01006847,Portlethen - 06,Aberdeenshire,714,460,5955,5,9,18,86,4%,26,5641,5%,21,4814,55,21,0,157,23%,0%,59,5125,94%,5.76,59,0%,8%,5779,2.37,1.88,2.36,1.86,2,3.25,9.06,8.42,8.4,36%,4485,5,71,5708,34,8,5%,1%,5223
342,S01006848,Banchory-Devenick and Findon - 01,Aberdeenshire,1625,1091,5484,4,8,16,79,2%,28,6596,3%,30,5972.5,40,2,0,51,10%,1%,61,6650,87%,5.85,68,0%,11%,5097,4.87,6.33,5.62,3.3,7.46,6.38,23.87,24.63,23.8,47%,428,13,82,5500,33,11,4%,1%,5864
343,S01006849,Banchory-Devenick and Findon - 02,Aberdeenshire,1988,1266,6121,5,9,18,88,2%,48,6263,3%,36,5923,35,13,23,22,12%,5%,57,6652,88%,5.52,55,0%,9%,4991,2.74,3.51,2.84,2.44,5.2,3.61,15.99,13.3,13.01,2%,2064,22,113,4889,48,9,5%,1%,5436
344,S01006850,Banchory-Devenick and Findon - 03,Aberdeenshire,911,623,3969,3,6,12,57,8%,73,3908,7%,41,3907,70,65,30,94,21%,2%,105,3675,86%,4.88,84,1%,4%,2995,2.43,2.62,2.22,2.85,4.07,3.63,13.92,12.23,11.72,2%,2845,12,134,4476,62,13,6%,1%,4595
345,S01006851,Banchory-Devenick and Findon - 04,Aberdeenshire,773,517,4304,4,7,13,62,9%,68,3698.5,8%,40,3456.5,95,57,40,123,20%,11%,80,3407,89%,5.91,82,5%,13%,4677,1.81,1.51,1.31,2,2.9,2.91,6.39,4.99,6.78,0%,6668,14,185,3633,66,16,8%,2%,3647
346,S01006852,Banchory-Devenick and Findon - 05,Aberdeenshire,582,352,5810,5,9,17,84,3%,16,6089,2%,8,6274,35,35,0,67,13%,7%,57,6501,92%,5.43,54,0%,19%,5752,4.38,3.85,4.04,4.22,5.15,5.48,18.41,18.68,19.9,48%,686,0,0,6468,10,4,2%,1%,6679
347,S01006853,"Dunecht, Durris and Drumoak - 01",Aberdeenshire,929,608,5069,4,8,15,73,4%,41,5271,2%,12,6502,25,4,15,44,9%,12%,42,6923,0%,5.8,29,1%,18%,6640,7.45,8.34,8.55,6.13,11.8,8.68,26.64,28.64,28.05,57%,171,14,154,4118,19,26,2%,3%,5666
348,S01006854,"Dunecht, Durris and Drumoak - 02",Aberdeenshire,843,523,4829,4,7,14,70,6%,48,4729,4%,22,5040,45,37,38,83,16%,0%,80,5405,92%,5.44,57,4%,7%,4707,7.94,8.53,1.51,3.35,11.94,6.69,14.9,6.24,12.31,3%,975,8,97,5184,51,6,6%,1%,5069
349,S01006855,"Dunecht, Durris and Drumoak - 03",Aberdeenshire,796,494,5244,4,8,16,76,2%,13,6649,2%,10,6429,25,9,0,65,9%,5%,57,6851,0%,6.6,48,1%,35%,6919,10.22,11.43,7.52,4.99,13.16,12.28,34.04,28.96,36.41,73%,74,8,103,5066,25,25,3%,3%,5236
350,S01006856,"Dunecht, Durris and Drumoak - 04",Aberdeenshire,715,462,5876,5,9,17,85,2%,12,6621,1%,5,6870,15,20,0,47,11%,0%,56,6928,95%,6,48,1%,15%,6306,3.33,9.87,3.54,3.36,11.1,10.83,31.75,11.18,26.16,51%,409,8,114,4864,19,26,3%,4%,5084
351,S01006857,"Dunecht, Durris and Drumoak - 05",Aberdeenshire,1214,739,5375,4,8,16,78,2%,23,6529,2%,17,6293,30,25,0,63,13%,4%,76,6485,93%,5.52,57,0%,15%,5734,7.73,10.12,4.06,4.29,13.83,9.74,25.37,14.11,24.98,59%,293,15,126,4631,28,53,3%,5%,4451
352,S01006858,"Dunecht, Durris and Drumoak - 06",Aberdeenshire,611,397,5337,4,8,16,77,1%,7,6830,2%,8,6431,25,32,0,94,9%,7%,56,6788,93%,6.05,48,1%,17%,6205,10.14,10.79,8.14,5.39,16.73,15.32,26.99,20.35,38.29,68%,86,0,0,6928,18,18,3%,3%,5559
353,S01006859,Banchory East - 01,Aberdeenshire,981,626,6448,5,10,19,93,2%,24,6243,2%,14,6290,30,21,0,41,11%,3%,62,6728,95%,6.44,25,1%,23%,6833,2.56,4.03,4.22,2.91,3.51,4.73,15.84,14.61,17.55,1%,1512,4,42,6342,16,8,1%,1%,6719
354,S01006860,Banchory East - 02,Aberdeenshire,569,330,4334,4,7,13,63,8%,45,3947,6%,19,4220,70,84,29,79,14%,0%,101,4285,77%,5.78,100,6%,5%,2749,2.93,3.27,3.46,3.02,2.89,4.27,9.35,8.13,11.53,0%,3470,0,0,6742,46,5,8%,1%,3930
355,S01006861,Banchory East - 03,Aberdeenshire,634,396,6324,5,10,19,91,2%,13,6458,2%,9,6384.5,40,20,0,45,10%,5%,37,6769,94%,6.03,19,2%,20%,6644,2.02,4.88,5.06,2.16,5.05,5.89,18.75,17,20.1,0%,1117,3,48,6196,28,0,5%,0%,5936
356,S01006862,Banchory East - 04,Aberdeenshire,675,399,5943,5,9,18,86,3%,21,5912,4%,16,5120,45,37,23,63,17%,8%,85,5338,0%,6,59,0%,14%,6203,2,2.84,3.03,3.11,3.15,3.86,10.74,9.52,13.12,11%,3052,10,151,4172,35,1,5%,0%,5688.5
357,S01006863,Banchory East - 05,Aberdeenshire,656,371,5255,4,8,16,76,7%,43,4418,3%,10,5925.5,50,18,0,63,18%,18%,77,5432,93%,5.54,60,1%,10%,5251,2.06,3.9,4.08,2.37,3.77,4.92,14.18,12.65,16.06,1%,1956,12,187,3608,49,6,7%,1%,4510
358,S01006864,Banchory East - 06,Aberdeenshire,590,378,5083,4,8,15,73,6%,36,4577,4%,15,5112,60,24,0,59,15%,3%,59,5701,88%,6,56,6%,17%,5343,2.64,4.71,4.89,2.25,4.52,5.54,18.31,16.95,19.65,0%,1207,0,0,6928,39,0,9%,0%,4211
359,S01006865,Banchory West - 01,Aberdeenshire,971,586,6468,5,10,19,93,2%,24,6232,2%,12,6497,30,55,16,111,16%,10%,71,6107,91%,6.41,39,0%,15%,6533,3.15,1.58,1.59,2.26,1.91,2.66,6.17,5.15,8.16,2%,6006,53,546,843,46,25,5%,3%,4564
360,S01006866,Banchory West - 02,Aberdeenshire,511,275,6886,5,10,20,99,2%,10,6508,2%,6,6277,30,39,0,45,14%,5%,52,6693,0%,6.47,23,0%,34%,6926,3.56,2.77,2.61,2.13,2.07,3.12,10.53,9.11,11.8,15%,3748,0,0,6713,4,2,1%,0%,6904
361,S01006867,Banchory West - 03,Aberdeenshire,706,381,6898,5,10,20,99,2%,14,6486,2%,6,6710.5,35,9,0,43,14%,0%,56,6654,0%,6.33,25,0%,20%,6798,4.84,2.63,2.03,3.45,3.63,3.28,9.03,6.71,10.44,5%,3595,4,58,6018,11,0,2%,0%,6849
362,S01006868,Banchory West - 04,Aberdeenshire,821,492,4635,4,7,14,67,8%,66,3895,6%,31,4028.5,60,109,0,68,16%,13%,75,4888,91%,5.91,79,0%,15%,5610,3.58,3.58,3.76,2.97,2.95,3.98,12.07,10.84,13.56,14%,2113,7,87,5374,49,1,6%,0%,5516
363,S01006869,Crathes and Torphins - 01,Aberdeenshire,498,310,5174,4,8,15,75,4%,21,5356,4%,13,5108.5,35,22,33,72,16%,4%,85,5866,85%,5.64,68,0%,5%,4212,1.6,5.33,1.18,1.7,9.56,8.71,14.32,6.96,17.49,26%,1840,8,164,3963,36,21,7%,4%,3172
364,S01006870,Crathes and Torphins - 02,Aberdeenshire,476,301,6687,5,10,20,96,3%,15,5891,2%,7,6202,35,68,0,71,13%,0%,50,6535,93%,6.05,37,1%,14%,6343,4.07,1.17,1.3,1.73,12.33,13.51,4.06,4.71,24.12,1%,3843,0,0,6319,18,13,4%,3%,5203
365,S01006871,Crathes and Torphins - 03,Aberdeenshire,725,419,6456,5,10,19,93,4%,28,5530,2%,10,6248.5,45,38,23,125,16%,0%,69,5491,93%,6.09,46,0%,18%,6464,3.24,1.55,1.08,1.78,11.53,12.65,7.73,4.96,22.96,0%,3738,0,0,6928,55,10,8%,1%,4052
366,S01006872,Crathes and Torphins - 04,Aberdeenshire,918,569,5848,5,9,17,84,2%,15,6648,1%,6,6860,15,12,0,63,10%,6%,46,6951,94%,6.04,41,1%,18%,6454,4.69,6.54,5.39,4.77,6.04,7.36,19.59,15.86,20.28,45%,501,21,233,2948,21,26,3%,4%,5112
367,S01006873,Crathes and Torphins - 05,Aberdeenshire,1068,525,5631,5,9,17,81,2%,17,6667,3%,16,5809,40,11,0,95,16%,7%,62,6202,91%,6.18,47,2%,20%,6194,5.04,5.41,4.57,5.53,8.03,7.78,17.97,15.29,22.42,66%,460,5,48,6212,13,29,1%,3%,6015
368,S01006874,Crathes and Torphins - 06,Aberdeenshire,598,393,5033,4,8,15,73,3%,18,5968,3%,12,5771,45,17,0,112,16%,0%,66,5870,91%,5.56,49,1%,11%,5325,7.13,4.82,4.28,4.99,14.83,15.19,16.53,13.97,36.78,71%,329,4,68,5772,37,38,7%,7%,2682
369,S01006875,Cromar and Kildrummy - 01,Aberdeenshire,710,403,4986,4,8,15,72,5%,38,4865,6%,23,4284,60,46,23,99,19%,0%,69,4825,86%,5.46,93,1%,8%,3805,11.78,1.15,1.33,1.66,9.37,10.74,4.67,3.91,22.97,4%,3493,6,86,5389,29,11,4%,2%,5481
370,S01006876,Cromar and Kildrummy - 02,Aberdeenshire,959,603,5307,4,8,16,77,4%,35,5634,2%,13,6349.5,45,11,0,56,16%,0%,54,6337,89%,5.41,60,3%,10%,4566,8.53,7.2,2.22,2.3,12.21,11.52,18.55,10.8,32.1,41%,527,0,0,6874,69,24,7%,2%,3950
371,S01006877,Cromar and Kildrummy - 03,Aberdeenshire,920,591,4900,4,8,15,71,4%,36,5494.5,2%,11,6534,40,21,16,115,14%,0%,53,6291,92%,5.63,46,2%,12%,5576,10.36,10.95,9.07,5.97,12.08,11.91,27.38,22.66,29.77,79%,98,0,0,6684,28,36,3%,4%,4977.5
372,S01006878,Cromar and Kildrummy - 04,Aberdeenshire,741,455,3594,3,6,11,52,8%,59,3929,7%,31,3747.5,65,33,0,76,16%,9%,66,5203,80%,5.52,79,3%,11%,3532,3.06,7.69,2.78,2.55,16.43,16.3,21.76,9.45,34.39,60%,462,7,96,5188,11,16,2%,2%,6222
373,S01006879,Cromar and Kildrummy - 05,Aberdeenshire,748,475,4978,4,8,15,72,4%,27,5656,4%,17,5432,35,13,41,122,13%,10%,61,6296,90%,6.5,50,1%,18%,6348,13.06,5.51,5.22,2.8,11.66,12.59,24.91,23.88,39.32,83%,226,5,68,5773,9,37,1%,5%,5291
374,S01006880,Howe of Alford - 01,Aberdeenshire,700,454,6004,5,9,18,87,2%,12,6599,1%,7,6774,15,22,0,80,10%,3%,51,6927,0%,5.89,34,1%,21%,6641,6.67,8.69,6.76,3.79,11.06,8.82,23.42,15.95,20.68,27%,386,0,0,6928,27,2,5%,0%,5843
375,S01006881,Howe of Alford - 02,Aberdeenshire,556,352,5719,5,9,17,82,2%,9,6656,2%,8,6352,25,23,0,44,9%,6%,44,6907,0%,5.81,50,1%,12%,6220,6.76,9.37,7.42,3.46,9.73,8.41,23.02,20.5,19.82,67%,328,3,55,6063,9,19,2%,3%,5841
376,S01006882,Howe of Alford - 03,Aberdeenshire,392,201,4887,4,8,15,71,6%,24,4566.5,7%,14,3730,35,10,47,90,18%,8%,75,5906,76%,5.25,99,0%,3%,2533,2.29,1.25,1.54,2.38,2.5,1.81,4.69,4.7,4.39,0%,6876,0,0,6632,34,3,9%,1%,3984
377,S01006883,Howe of Alford - 04,Aberdeenshire,466,297,6023,5,9,18,87,4%,20,5323,6%,17,4316,55,8,0,55,14%,7%,59,6085,0%,5.93,65,2%,7%,5330,1.36,2.22,1.06,2.44,2.42,1.17,7.25,4.65,4.66,0%,6804,0,0,6689,23,10,5%,2%,4843
378,S01006884,Howe of Alford - 05,Aberdeenshire,835,497,5646,5,9,17,81,6%,53,4481,4%,21,5031,60,33,20,78,14%,0%,61,5543,91%,5.81,53,1%,14%,5639,1.86,1.82,1.57,2.99,3.03,1.68,6.37,6.13,5.58,2%,6131,19,232,2959,42,0,5%,0%,5895
379,S01006885,Howe of Alford - 06,Aberdeenshire,879,531,5138,4,8,15,74,8%,67,4031,5%,28,4469,60,54,0,107,15%,9%,68,5156,88%,5.72,43,3%,9%,5037,3.49,2.48,2.75,2.9,2.86,3,8.65,8.58,8.72,15%,3946,6,70,5742,5,4,1%,1%,6803
380,S01006886,Howe of Alford - 07,Aberdeenshire,895,554,4700,4,7,14,68,5%,47,4905,4%,23,5084,40,8,0,67,12%,0%,59,6524,87%,5.55,53,4%,19%,4946,12.35,8.98,3.83,3.49,11.12,9.11,21.94,10.69,22.16,46%,403,7,80,5543,38,29,5%,4%,4053
381,S01006887,Howe of Alford - 08,Aberdeenshire,669,430,5845,5,9,17,84,3%,23,5742,4%,17,5161,35,17,0,41,10%,0%,54,6737,89%,5.87,39,0%,11%,5846,2.37,4.44,3.32,3.8,4.1,3.3,16.69,13.81,14.34,31%,1522,0,0,6793,13,1,2%,0%,6670
382,S01006888,Howe of Alford - 09,Aberdeenshire,811,537,5525,4,8,16,80,2%,20,6234,2%,12,6259,35,9,0,60,14%,0%,55,6623,90%,6,45,2%,16%,5810,12.48,7.11,7.62,2.21,14.04,7.96,23.11,20.38,25.47,48%,344,3,38,6416,24,17,3%,2%,5739
383,S01006889,Kemnay - 01,Aberdeenshire,794,499,2753,2,4,8,40,14%,113,2389,10%,47,2837,80,80,83,121,17%,4%,87,3684,79%,4.86,124,3%,3%,1704,8.4,2.11,8.4,1.38,2.22,2.19,5.28,13.65,5.29,0%,5481,19,244,2826,133,7,16%,1%,1687
384,S01006890,Kemnay - 02,Aberdeenshire,618,401,6615,5,10,19,95,5%,29,5138,2%,8,6469,20,11,0,70,15%,14%,73,6723,95%,5.76,42,3%,18%,6156,7.92,1.53,6.46,1.34,3.83,1.64,5.66,13.26,5.73,0%,5366,9,149,4214,22,5,3%,1%,6135
385,S01006891,Kemnay - 03,Aberdeenshire,1032,607,5509,4,8,16,79,6%,66,4466,4%,21,5448,65,85,0,118,17%,6%,72,4591,90%,5.69,52,3%,8%,4865,7.26,1.29,7.17,1.42,3.4,1.43,4.35,13.08,4.57,0%,6027,20,198,3440,66,6,7%,1%,4556
386,S01006892,Kemnay - 04,Aberdeenshire,584,382,3249,3,5,10,47,13%,74,2748.5,10%,37,2763,105,96,24,98,18%,5%,73,3557,83%,4.95,86,0%,8%,3357,6.84,1.94,7.59,2.06,2.96,2.06,7.46,14.65,7.56,0%,4462,10,175,3798,67,0,11%,0%,3391
387,S01006893,Kemnay - 05,Aberdeenshire,526,329,4801,4,7,14,69,8%,40,4039,5%,16,4710,50,72,0,77,16%,7%,83,5181,86%,5.46,98,3%,6%,3490,7.99,2.46,8.75,2.15,2.13,2.54,7.11,15.34,7.12,0%,3819,5,97,5181,50,22,9%,4%,2678
388,S01006894,Inverurie North - 01,Aberdeenshire,958,536,4745,4,7,14,69,7%,69,4181,8%,40,3550,60,54,37,89,17%,14%,87,4442,93%,5.75,80,5%,7%,4646,1.41,2.78,2.25,2.67,4.74,4.07,9.07,7.62,11,0%,4186,0,0,6873,36,0,4%,0%,6212
389,S01006895,Inverurie North - 02,Aberdeenshire,561,378,2744,2,4,8,40,10%,58,3322,6%,24,3979,70,77,0,102,19%,3%,109,3894,72%,3.67,92,8%,0%,422,1.53,2,1.99,4.24,4.81,3.04,3.86,5.01,6.86,1%,5521,19,345,1856,70,11,13%,2%,2118.5
390,S01006896,Inverurie North - 03,Aberdeenshire,790,500,4381,4,7,13,63,8%,60,4044,6%,31,4053,55,72,73,103,15%,10%,88,4584,90%,5.52,71,4%,7%,4256,1.68,2.62,1.34,3.25,4.88,3.8,7.5,4.94,9.99,1%,4841,38,478,1105,66,3,9%,0%,4116
391,S01006897,Inverurie North - 04,Aberdeenshire,691,454,5464,4,8,16,79,4%,25,5653,7%,33,3610,50,30,0,63,16%,0%,74,5620,89%,6.33,63,0%,11%,5920,2.14,2.98,1.46,4.36,5.22,4.03,8.09,4.94,10.69,11%,3687,5,74,5658,33,2,5%,0%,5808
392,S01006898,Inverurie North - 05,Aberdeenshire,813,517,4840,4,7,14,70,6%,48,4648.5,6%,31,4151,55,28,20,51,16%,3%,64,5601,91%,5.26,81,1%,8%,4300,2.05,3.92,1.46,4.19,5.86,5.07,11.04,6.27,13.26,0%,2739,13,163,3970,72,2,10%,0%,3743
393,S01006899,Inverurie North - 06,Aberdeenshire,598,407,6791,5,10,20,98,1%,6,6874,2%,7,6609,25,12,0,49,11%,0%,50,6876,0%,5.79,46,1%,13%,6368,3.14,4.08,2.07,5.26,6.11,5.13,9.07,6.86,12.06,0%,2088,0,0,6757,8,7,1%,1%,6648
394,S01006900,Inverurie North - 07,Aberdeenshire,541,357,6301,5,10,19,91,3%,15,6072,3%,11,5829,45,50,0,67,16%,5%,63,5892,89%,6.1,70,0%,15%,5746,2.63,3.56,1.6,5.08,5.99,4.6,9.09,6.46,12.1,0%,2882,3,57,6040,33,0,6%,0%,5510
395,S01006901,Inverurie North - 08,Aberdeenshire,518,334,3656,3,6,11,53,10%,53,3347,7%,23,3692,80,90,27,124,21%,0%,115,3226,84%,5.4,107,2%,4%,2910,2.33,3.22,1.37,4.86,5.71,4.27,8.33,5.78,11.06,0%,3762,6,118,4788,85,1,14%,0%,2310
396,S01006902,Inverurie South - 01,Aberdeenshire,643,425,2684,2,4,8,39,14%,87,2557,11%,48,2326,100,126,121,103,20%,4%,102,2863,91%,5.74,105,2%,5%,4117,2.03,3.35,2.88,2.68,4.87,4.64,12.01,11.93,14.42,12%,2169,14,222,3079,79,9,11%,1%,2845
397,S01006903,Inverurie South - 02,Aberdeenshire,779,508,2309,2,4,7,34,15%,116,2262,13%,67,1807,110,108,36,115,20%,2%,111,2713,88%,4.97,96,3%,10%,3392,1.56,4.86,4.75,1.75,5.3,5.68,8.29,7.96,10.15,0%,2896,17,223,3071,107,24,14%,3%,1717
398,S01006904,Inverurie South - 03,Aberdeenshire,769,437,4443,4,7,13,64,9%,69,3657,6%,26,4166.5,70,75,20,111,20%,7%,86,3915,88%,5.26,67,0%,8%,4402,2.17,3.46,3.21,2.01,3.98,4.12,6.31,6.11,8.29,0%,4591,16,212,3220,58,1,8%,0%,4313
399,S01006905,Inverurie South - 04,Aberdeenshire,851,498,4975,4,8,15,72,5%,39,5187,6%,30,4116,60,38,20,102,17%,4%,82,4652,91%,5.75,60,1%,7%,5091,2.81,3.03,2.7,3.35,3.35,3.76,7.26,7.29,9.43,1%,3869,30,348,1841,44,10,5%,1%,5312
400,S01006906,Inverurie South - 05,Aberdeenshire,777,433,2258,2,4,7,33,12%,97,2791,14%,62,1565,90,220,108,99,24%,14%,104,2572,86%,5.33,115,3%,2%,2591,1.94,2.22,1.91,2.21,4.06,3.51,7.11,7.07,9.95,0%,5506,44,564,780,106,4,13%,0%,2744
401,S01006907,Inverurie South - 06,Aberdeenshire,712,498,4028,3,6,12,58,7%,50,4249,6%,30,4104,55,188,87,47,16%,0%,91,4558,0%,5.5,109,8%,4%,3982,1.8,1.45,1.3,3.66,2.96,2.37,3.67,3.99,6.37,0%,6785,97,1361,96,68,13,11%,2%,2565.5
402,S01006908,Inverurie South - 07,Aberdeenshire,807,521,4488,4,7,13,65,8%,66,3862.5,6%,29,4279,55,58,48,83,17%,8%,81,4776,87%,5.09,91,2%,10%,3543,1.28,1.35,1.31,3.52,3.77,2.53,3.4,3.84,6.3,0%,6805,36,442,1270,72,2,9%,0%,4015
403,S01006909,Durno-Chapel of Garioch - 01,Aberdeenshire,1218,793,6153,5,9,18,89,3%,34,6063.5,1%,11,6776,25,28,0,50,10%,0%,44,6888,96%,6,28,1%,11%,6539,2.79,4.9,3.78,4.81,7.61,6.19,15.16,11.41,17.43,23%,797,8,67,5810,3,3,0%,0%,6935
404,S01006910,Durno-Chapel of Garioch - 02,Aberdeenshire,941,624,6172,5,9,18,89,2%,16,6603,2%,13,6376,30,11,41,39,9%,4%,51,6814,95%,6.21,42,1%,17%,6510,7.98,3.9,7.5,3.02,5.61,4.02,13.86,20.12,14.19,34%,806,5,54,6083,31,24,4%,3%,5183
405,S01006911,Durno-Chapel of Garioch - 03,Aberdeenshire,811,535,6472,5,10,19,93,1%,12,6717,2%,11,6516,35,17,54,44,13%,5%,56,6552,94%,5.37,38,4%,3%,4937,4.14,3.67,3.76,3.04,4.99,4.28,9.17,8.15,10.26,1%,2090,4,50,6157,30,0,4%,0%,5990
406,S01006912,Durno-Chapel of Garioch - 04,Aberdeenshire,617,417,5372,4,8,16,78,1%,9,6725,2%,7,6714,20,12,0,65,12%,4%,55,6878,89%,5.57,39,2%,12%,5393,5.27,6.59,6.53,5.74,7.87,7.06,29.5,31.47,30.93,82%,228,9,149,4212,23,23,5%,5%,3415
407,S01006913,Durno-Chapel of Garioch - 05,Aberdeenshire,1209,772,5570,4,8,16,80,5%,64,4890,2%,14,6576,25,25,0,61,14%,7%,57,6725,93%,5.44,43,1%,7%,5352,3.59,4.4,2.65,6.09,7.69,5.45,14.11,11.64,16.26,36%,860,7,59,5993,9,2,2%,0%,6749
408,S01006914,Durno-Chapel of Garioch - 06,Aberdeenshire,720,477,5789,5,9,17,83,1%,6,6917,1%,6,6808.5,15,14,0,41,12%,6%,39,6959,93%,5.82,33,5%,20%,6141,7.38,8.82,7.78,3.6,11.14,9.61,16,16.35,17.34,83%,351,10,142,4322.5,47,17,6%,2%,4267
409,S01006915,Durno-Chapel of Garioch - 07,Aberdeenshire,849,554,5041,4,8,15,73,2%,21,6231,3%,17,5716,35,13,0,108,13%,8%,61,6419,89%,5.71,51,3%,8%,4898,6.68,11.82,6.17,3.3,12.26,12.97,29,15.36,31.77,49%,220,3,36,6444,35,16,4%,2%,5305
410,S01006916,Kintore - 01,Aberdeenshire,576,377,5076,4,8,15,73,6%,34,4650.5,4%,16,4945,60,36,42,55,13%,5%,65,5481,93%,5.63,48,0%,14%,5945,5.54,2.98,2.49,1.53,9.37,8.02,10.59,7.85,19.37,37%,1361,8,142,4322.5,20,0,4%,0%,6317
411,S01006917,Kintore - 02,Aberdeenshire,1094,692,6645,5,10,20,96,2%,18,6637,1%,10,6751,25,4,0,27,9%,4%,49,6925,95%,5.81,20,1%,12%,6509,4.72,2.38,2.48,3.12,9.14,7.86,9.2,7.47,19.99,0%,1686,10,93,5252,28,0,3%,0%,6561.5
412,S01006918,Kintore - 03,Aberdeenshire,493,305,5747,5,9,17,83,2%,12,6249,4%,13,5071,40,78,0,130,13%,6%,65,5885,88%,5.82,50,1%,7%,5018,4.94,2.03,1.71,2.9,9.46,8.23,8.78,5.94,18.88,1%,2132,7,145,4265,13,2,3%,0%,6500
413,S01006919,Kintore - 04,Aberdeenshire,448,267,5956,5,9,18,86,4%,16,5677.5,4%,10,5386,35,0,36,62,16%,0%,82,6226,86%,6,36,0%,7%,5626,5.21,2.02,1.48,2.4,9.84,9.13,9.23,6.36,19.78,0%,2352,0,0,6928,40,14,8%,3%,3325
414,S01006920,Kintore - 05,Aberdeenshire,464,276,4835,4,7,14,70,6%,26,4762,7%,20,3632,70,42,0,105,16%,7%,101,4263,91%,5.62,54,2%,7%,4876,4.02,1.39,0.91,2.34,8.78,8.51,5.17,3.21,15.9,0%,4867,9,198,3437,29,7,6%,1%,4858
415,S01006921,Kintore - 06,Aberdeenshire,817,529,6720,5,10,20,97,1%,8,6881,2%,11,6424,20,15,0,40,12%,3%,53,6905,96%,5.88,43,0%,10%,6433,4.32,1.76,2,3.57,9.1,8.35,8.39,7.09,21.49,0%,2137,8,100,5120,4,9,0%,1%,6840
416,S01006922,Kintore - 07,Aberdeenshire,685,410,5449,4,8,16,79,3%,18,6161,1%,6,6798,25,6,0,54,10%,4%,61,6832,88%,5.63,63,1%,8%,4570,7.35,5.66,5.9,5.08,10.1,9.45,22.33,20.42,25.83,59%,336,3,45,6279,18,6,4%,1%,5883
417,S01006923,Kintore - 08,Aberdeenshire,805,460,5886,5,9,17,85,3%,21,6170,3%,13,5857,50,13,68,108,16%,0%,69,5416,93%,6.13,55,1%,13%,6038,4.12,1.93,1.89,3.31,8.54,8.03,10.44,10.4,23.36,31%,1402,9,114,4867,10,0,1%,0%,6885
418,S01006924,Kintore - 09,Aberdeenshire,567,376,4990,4,8,15,72,4%,21,5605.5,3%,11,5952,25,0,0,61,12%,0%,59,6848,0%,5.9,30,0%,19%,6575,8.4,7.93,7.58,3.63,10.35,10.84,23.31,17.55,31.01,95%,229,15,270,2507,13,9,2%,2%,6166.5
419,S01006925,Blackburn - 01,Aberdeenshire,461,277,5273,4,8,16,76,5%,23,5007,3%,10,5499,35,7,0,83,14%,0%,73,6405,0%,5.71,47,1%,4%,5416,6.95,7.5,1.5,1.93,10.29,9.97,22.15,6.62,23.74,0%,901,3,66,5825,24,5,5%,1%,5461
420,S01006926,Blackburn - 02,Aberdeenshire,766,508,6175,5,9,18,89,1%,10,6776.5,3%,13,6113,30,20,0,46,11%,0%,51,6796,96%,5.93,30,1%,13%,6594,7.18,7.49,1.79,1.97,10.23,10.2,22.21,7.35,23.93,1%,760,3,40,6380,3,0,0%,0%,6958
421,S01006927,Blackburn - 03,Aberdeenshire,1160,745,5880,5,9,17,85,3%,36,5919,2%,16,6432,20,8,0,23,9%,3%,45,6954,93%,5.57,25,0%,11%,6237,7.22,7.73,1.78,2.26,10.59,10.24,27.89,12.36,29.52,0%,612,4,35,6462,10,3,1%,0%,6878
422,S01006928,Blackburn - 04,Aberdeenshire,1030,715,4849,4,7,14,70,4%,38,5613,4%,28,5170.5,40,50,39,92,14%,0%,78,5672,91%,5.86,56,1%,10%,5421,6.4,6.9,2.15,2.86,9.15,9.22,20.64,9.24,22.54,16%,640,28,267,2534,82,26,8%,3%,3548
